cutoff	n.component	n.too.large.comp	max.size.comp	clst.closure.scr	clst.vote.scr	clst.center.scr	clst.center.merge.scr	clst.edit.vote.scr	clst.vote.prc	clst.vote.rec	clst.vote.f10	clst.vote.f05	clst.edit.vote.prc	clst.edit.vote.rec	clst.edit.vote.f10	clst.edit.vote.f05	clst.center.prc	clst.center.rec	clst.center.f10	clst.center.f05	clst.center.merge.prc	clst.center.merge.rec	clst.center.merge.f10	clst.center.merge.f05	clst.closure.prc	clst.closure.rec	clst.closure.f10	clst.closure.f05
0.69	48302	0	43	4842.35037150046	9101.58312295573	2713.53682957288	1889.17111803947	9214.34444264105	0.756596476149549	0.683749398039551	0.71833077651206	0.74081118109017	0.780504623654013	0.685737809329999	0.730058711651369	0.759512183371702	0.832183073011261	0.284715641651003	0.424273990995058	0.60104021145282	0.577413799851278	0.458375405837851	0.5110543407664	0.548904126407745	0.561793802434412	0.719851490531745	0.631076489374017	0.587597544058086
0.7	49148	0	37	5211.28400923418	8558.34814426897	2566.67947363885	2087.82319039436	8656.34273364189	0.774655676871477	0.674521926894816	0.721129333610131	0.752319106247466	0.796595604636706	0.676821027449397	0.731840056438812	0.769365245859954	0.841698663089235	0.282649558044522	0.423188742877079	0.603118515522968	0.611079551431757	0.451182949373184	0.519097067076549	0.570633701260172	0.593672801583093	0.713047395647243	0.647907403486485	0.614239336689496
0.71	49946	0	37	5312.11599838497	8033.63605566321	2423.53167537373	2176.82714808294	8115.74133860093	0.793351186628498	0.667298401503736	0.724885671374812	0.764469502016352	0.81378655526016	0.66571388625666	0.732340450983911	0.779126804914677	0.852420306965762	0.280397060879561	0.421985318183944	0.605408088654552	0.638305510680309	0.441924409302037	0.522264344920645	0.586206185991881	0.622435563833575	0.706025818277849	0.661600832660072	0.637531737014125
0.72	50778	0	37	5405.47226410941	7524.80183167355	2283.85591190397	2208.74111857032	7597.96926790635	0.807559744834809	0.658801050129713	0.725634795701869	0.772665823716536	0.829366640440598	0.655010641107297	0.731948651627855	0.78744495448824	0.863375042272574	0.277616391965576	0.420138235847282	0.607159116390001	0.665454893332058	0.432230904261103	0.524066487733672	0.600636384438371	0.651645342181908	0.69861587932829	0.674313646109787	0.660527282073878
0.73	51634	0	37	5414.92301989053	7033.89169760016	2147.15173449504	2185.95292516841	7096.76217297013	0.826132729475796	0.646078324763488	0.725095017260016	0.782517074639222	0.84499479368709	0.642924828732543	0.73023854894488	0.795020150678669	0.874188593231257	0.274058999891259	0.417295456158195	0.607938137935312	0.695588948133786	0.423547139328601	0.526503813845708	0.616406147557662	0.682591492047851	0.68872042626567	0.68564226284371	0.68380853669446
0.74	52491	0	37	5286.04337749004	6559.74336027092	2014.3754288002	2110.88811552721	6614.3498983408	0.84360435007768	0.632641014089758	0.723048789148498	0.790859624115927	0.859811500582442	0.630637068336104	0.727605118829982	0.80155429979505	0.884609514118545	0.27009771177357	0.413838244394726	0.607966823550803	0.72511745376531	0.414785702080065	0.527708605083205	0.630737249899605	0.711827043973808	0.677193854566356	0.69407868549684	0.704619880583312
0.75	53315	0	37	5036.88024271267	6104.4822265033	1885.18822724673	2007.88235275162	6150.93602869738	0.859007384509703	0.621627079676262	0.721288427048316	0.79805671116713	0.873736707970824	0.617790067264226	0.723803110411415	0.806879648754043	0.893472584856397	0.265794665465335	0.409707505716988	0.606853794698276	0.752973704674405	0.406133006073975	0.527660605082043	0.643126681983892	0.738972549694519	0.667018781166017	0.701154493051813	0.723366117125404
0.76	54137	0	36	4841.43725453165	5666.13670686347	1759.42757186958	1967.04143060154	5704.46764529187	0.875187129929617	0.608469389340251	0.717854262883953	0.804645162350602	0.889691263511506	0.604787721560282	0.720082861687567	0.813085556516255	0.903520068684267	0.261569291473133	0.405690949174186	0.606045336423908	0.783065871924194	0.397961878427291	0.527727422544496	0.656087854000092	0.768905495306662	0.655336864834636	0.70759321692749	0.743148259716101
0.77	54982	0	36	4570.00052553363	5241.87792033275	1637.33013704621	1857.06910303363	5274.98334048657	0.888648422228428	0.593214546471347	0.711481671246914	0.808152847909727	0.902675068362858	0.589719292249856	0.713383696019845	0.816060672505192	0.913947078280044	0.257545865502618	0.401851829408699	0.605369049097004	0.810871135035778	0.383763379056437	0.520967112685709	0.663240924198736	0.796759089770516	0.642365588057105	0.711280445851108	0.760215318657641
0.78	55773	0	36	4301.52935179653	4835.75758857394	1518.28320293693	1725.99098341636	4862.13437912133	0.904410697876868	0.58100445839094	0.707501395102481	0.813811801261157	0.914921433681146	0.57617324033368	0.707068781454934	0.81865897964499	0.924600456621005	0.2516427694841	0.395613788724311	0.602403813972169	0.834383002283895	0.374566976838115	0.517031017143592	0.669908037673992	0.82339928970066	0.630279775682351	0.714011685203435	0.775854485931626
