cutoff	n.component	n.too.large.comp	max.size.comp	clst.closure.scr	clst.vote.scr	clst.center.scr	clst.center.merge.scr	clst.edit.vote.scr	clst.vote.prc	clst.vote.rec	clst.vote.f10	clst.vote.f05	clst.edit.vote.prc	clst.edit.vote.rec	clst.edit.vote.f10	clst.edit.vote.f05	clst.center.prc	clst.center.rec	clst.center.f10	clst.center.f05	clst.center.merge.prc	clst.center.merge.rec	clst.center.merge.f10	clst.center.merge.f05	clst.closure.prc	clst.closure.rec	clst.closure.f10	clst.closure.f05
0.64	6718	1	243	-8733.41686237842	1517.7363200842	707.718812657069	-3141.85582126419	1534.27294019451	0.753862359550562	0.696399610768732	0.723992581352217	0.741623488773748	0.779498525073746	0.685695750891988	0.729594477998274	0.75873950183045	0.944628099173554	0.370742783003568	0.532494758909853	0.721317682695949	0.702098540145985	0.499189101524489	0.583507109004739	0.649312294321154	0.654700854700855	0.745377878689588	0.697102988017594	0.671027273258191
0.65	6910	1	234	-7767.66847858691	1420.6352842764	676.105696371092	-3690.22183997653	1436.61938938247	0.763603603603604	0.68731754784301	0.723455104131103	0.747021081576535	0.789969834087481	0.679532922478106	0.730601569311247	0.76510116134687	0.945318972659486	0.370094064223159	0.531934731934732	0.721147768929339	0.711142322097378	0.492701913720402	0.582103851312512	0.653220951234196	0.663740122914838	0.735647096983458	0.697846153846154	0.676974508984538
0.66	7064	1	223	-7189.21784179223	1330.58224504825	644.995321606648	-3421.51582767376	1343.85004956308	0.782013323464101	0.685371391501784	0.730509939498704	0.76056439421208	0.795454545454545	0.669802140771975	0.727240711392851	0.766688943342987	0.948419301164726	0.369769704832955	0.532088681446908	0.722341908503358	0.721718377088306	0.490431397988972	0.584009269988413	0.659513216435488	0.672732696897375	0.731430424910801	0.700854700854701	0.6837062640228
0.67	7239	1	206	-5877.94576964901	1239.32141832436	614.76210840401	-3142.31688660567	1252.40244234866	0.786823173040515	0.674018812844632	0.726065688329839	0.761339488532278	0.802449624654287	0.658773921505028	0.723548272176701	0.768910426289089	0.949832775919733	0.368472267272138	0.530965178780089	0.722003304944706	0.741984732824427	0.472915990917937	0.577654516640254	0.666179292698529	0.70009430996542	0.72234836198508	0.711047254150703	0.704434744100715
0.68	7395	1	186	-4365.6938303901	1156.85174928623	584.896677563049	-2506.4882245583	1167.91635177842	0.802652106084243	0.667531625040545	0.728882592527006	0.771422145588125	0.815938511326861	0.654232890042167	0.726192619261926	0.777503662015265	0.951342281879195	0.367823548491729	0.530526315789474	0.722200993504012	0.757082896117524	0.468050600064872	0.578472639807577	0.673858223592043	0.712765957446809	0.71715861174181	0.714955537590946	0.713640178167969
0.69	7553	1	173	-3675.20948868126	1078.77206972087	555.512392521013	-102.840076344582	1089.2304361563	0.816733067729084	0.66493674991891	0.733059181119256	0.781071401356397	0.829813664596273	0.65001621796951	0.728992360858494	0.786314054775171	0.952822240943555	0.366850470321116	0.529742388758782	0.722129996169072	0.765692640692641	0.45896853713915	0.573920097343338	0.675417661097852	0.729675476748076	0.70742783003568	0.718379446640316	0.725114701775384
0.7	7711	1	150	-2367.08917711659	1006.36223547148	526.871457647682	-289.49775071765	1016.35737800024	0.827049180327869	0.654557249432371	0.73076226688394	0.785641983960134	0.836379090522737	0.638339279922154	0.724061810154526	0.787515006002401	0.953508030431107	0.365877392150503	0.528832630098453	0.72168905950096	0.785834738617201	0.453454427505676	0.575071986836693	0.685361309932346	0.746620450606586	0.698670126500162	0.721849865951743	0.736510975859947
0.71	7875	1	112	-668.20261987224	935.546581007471	498.620137036688	-425.861517668992	944.469899824463	0.839832285115304	0.649691858579306	0.732626188734455	0.793393012754496	0.849434290687554	0.633149529678884	0.725515703400855	0.795112016293279	0.953310696095076	0.364255595199481	0.527106313072049	0.720333547145606	0.793241695303551	0.44923775543302	0.573617726237316	0.6878911294328	0.756487735513686	0.690236782354849	0.721845318860244	0.742239274502965
0.72	8040	1	98	-330.560207523442	868.169588185661	471.157509706288	-281.101223204714	876.664205457746	0.847288503253796	0.633473889069089	0.724944320712695	0.793708851499634	0.856952465570857	0.625689263704184	0.723284589426322	0.797964755522462	0.957410562180579	0.364579954589685	0.528071411792342	0.72245789947294	0.818681318681319	0.434965942264029	0.568099978818047	0.695900363258952	0.786407766990291	0.683100875770354	0.731123068911647	0.76332004349402
0.73	8214	1	84	-81.1511315616978	804.601904621295	444.141871351592	-121.220404199085	811.182536625785	0.855619724566859	0.624716185533571	0.722159730033746	0.796723752792256	0.87024300779459	0.615634122607849	0.72112462006079	0.803760481070551	0.95786758383491	0.361336360687642	0.524729156853509	0.720103425985779	0.828697850821745	0.425235160557898	0.562057877813505	0.696525342684093	0.798214978657354	0.667207265650341	0.726855123674912	0.768053170039579
